Query1,26.839
Query3 SQL,12.42
Query4,14.887
Query2,26.047
Query3 RDD,27.025
Query5,16.419
Query1,23.974
Query2,25.548
Query3 SQL,12.596
Query3 RDD,26.494
Query4,14.497
Query5,14.62
Query1,24.065
Query2,26.397
Query3 SQL,12.4
Query3 RDD,28.568
Query4,13.862
Query5,14.404
Query1,23.691
Query2,26.385
Query3 SQL,12.262
Query3 RDD,24.014
Query4,14.14
Query5,16.153
Query1,23.537
Query2,40.178
Query3 SQL,12.599
Query3 RDD,28.429
Query4,14.162
Query5,14.439
Query1,24.545
Query2,40.457
Query3 SQL,11.868
Query3 RDD,27.972
Query4,13.905
Query5,14.03
Query1,22.963
Query2,25.505
Query3 SQL,12.16
Query3 RDD,26.82
Query4,13.859
Query5,14.77
Query1,22.989
Query2,25.463
Query3 SQL,12.042
Query3 RDD,28.093
Query4,14.597
Query5,14.748
Query1,23.264
Query2,40.145
Query3 SQL,12.129
Query3 RDD,31.672
Query4,13.498
Query5,14.006
